column,name,short_name,type,Description,Derived?
28,Reserve request activity:(incld/dx (source08.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source08.JDBCDataSourceRuntime,dbl,Reserve request activity,N
29,Rel. Swap Usage:((\Swap\used / \Swap\total)),Rel. Swap Usage,dbl,Relative swap used,Y
30,Stuck threads:(ClusterMessaging.WorkManagerRuntime.StuckThreadCount),Stuck threads:ClusterMessaging,dbl,Stuck Threads,N
31,Failing reserve requests:(incld/dx (source04.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source04.JDBCDataSourceRuntime,dbl,"Number of failed reserve requests, source",N
32,Failing reserve requests:(incld/dx (source06.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source06.JDBCDataSourceRuntime,dbl,"Number of failed reserve requests, source",N
33,Failing reserve requests:(incld/dx (source08.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source08.JDBCDataSourceRuntime,dbl,"Number of failed reserve requests, source",N
34,Stuck threads:(batchModules2.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:batchModules2,dbl,Stuck Threads,N
35,Active connections:(source05.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source05.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
36,Reserve request activity:(incld/dx (source10.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source10.JDBCDataSourceRuntime,dbl,Reserve request activity,N
37,Memory space usage:((PS Perm Gen.MemoryPool.Usage.committed / PS Perm Gen.MemoryPool.Usage.max)),Memory space usage:PS Perm Gen.Committed,dbl,"Committed memory of max, PS Perm Gen",Y
38,Physical mem activity:(d/dx (OperatingSystem.FreePhysicalMemorySize)),Physical mem activity:OperatingSystem,dbl,OS physical memory,N
39,Stuck threads:(source02.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source02,dbl,Stuck Threads,N
40,Reserve request activity:(incld/dx (source05.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source05.JDBCDataSourceRuntime,dbl,Reserve request activity,N
41,Successful wait for connection:(incld/dx (source02.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source02.JDBCDataSourceRuntime,dbl,Successful waits for connection,N
42,Rel. unavailable connections:((source02.JDBCConnectionPoolRuntime.NumUnavailable / source02.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source02.JDBCConnectionPoolRuntime,dbl,"Relative avialable connecitons, pool",Y
43,Memory space usage:((Code.MemoryPool.Usage.used / Code.MemoryPool.Usage.max)),Memory space usage:Code.Used,dbl,"Used memory of max, Code",Y
44,Rel. nonHeap committed:((Memory.NonHeapMemoryUsage.committed / Memory.NonHeapMemoryUsage.max)),Rel. nonHeap committed,dbl,Relative non-heap committed,Y
45,Connection delay:(source09.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source09.JDBCDataSourceRuntime,dbl,"Connection delay, source",N
46,Available db connection activity:(d/dx (source05.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source05.JDBCDataSourceRuntime,dbl,"Number of available connections, source",N
47,Process CPU:(OperatingSystem.ProcessCpuLoad),Process CPU: OperatingSystem,dbl,Operating system load,N
48,Connection delay:(source09.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source09.JDBCConnectionPoolRuntime,dbl,"Connection delay, pool",N
49,Class loading activity:(d/dx (ClassLoading.LoadedClassCount)),Class loading activity,dbl,Number of loaded classes,N
50,Memory space usage:((PS Survivor Space.MemoryPool.Usage.used / PS Survivor Space.MemoryPool.Usage.max)),Memory space usage:PS Survivor Space.Used,dbl,"Used memory of max, PS Survivor Space",Y
51,Available db connection activity:(d/dx (source04.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source04.JDBCConnectionPoolRuntime,dbl,"Number of available connections, pool",N
52,GC activity:(incld/dx (PS Scavenge.GarbageCollector.CollectionCount)),GC activity:PS Scavenge,dbl,GC collection count,N
53,Connection delay:(source02.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source02.JDBCConnectionPoolRuntime,dbl,"Connection delay, pool",N
54,Failed wait for connection:(incld/dx (source01.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source01.JDBCDataSourceRuntime,dbl,"Number of connections failed waiting, source",N
55,Rel. unavailable connections:((source01.JDBCConnectionPoolRuntime.NumUnavailable / source01.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source01.JDBCConnectionPoolRuntime,dbl,"Relative avialable connecitons, pool",Y
56,Prepared statement cache hit rate:((source04.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source04.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source04.JDBCDataSourceRuntime,dbl,"Prepared statement cahce hit rate, source",Y
57,Stuck threads:(DomainLogBroadcasterClient.WorkManagerRuntime.StuckThreadCount),Stuck threads:DomainLogBroadcasterClient,dbl,Stuck Threads,N
58,DB connection started:(incld/dx (source10.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source10.JDBCDataSourceRuntime,dbl,"Number of connections started, source",N
59,Stuck threads:(JmsDispatcher.WorkManagerRuntime.StuckThreadCount),Stuck threads:JmsDispatcher,dbl,Stuck Threads,N
60,DB connection started:(incld/dx (source04.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source04.JDBCDataSourceRuntime,dbl,"Number of connections started, source",N
61,DB connection started:(incld/dx (source02.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source02.JDBCConnectionPoolRuntime,dbl,"Number of connections started, pool",N
62,Available db connection activity:(d/dx (source03.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source03.JDBCConnectionPoolRuntime,dbl,"Number of available connections, pool",N
63,Stuck threads:(bea_wls_internal.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:bea_wls_internal,dbl,Stuck Threads,N
64,Stuck threads:(sys01.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:sys01.default,dbl,Stuck Threads,N
65,Failed wait for connection:(incld/dx (source02.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source02.JDBCDataSourceRuntime,dbl,"Number of connections failed waiting, source",N
66,Thread User time:(Threading.CurrentThreadUserTime),Thread User time,dbl,Thread User time,N
67,DB connection started:(incld/dx (source04.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source04.JDBCConnectionPoolRuntime,dbl,"Number of connections started, pool",N
68,Connection delay:(source01.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source01.JDBCConnectionPoolRuntime,dbl,"Connection delay, pool",N
69,Active connections:(source06.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source06.JDBCConnectionPoolRuntime,dbl,"Count of active JDBC connections, pool",N
70,Available db connection activity:(d/dx (source09.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source09.JDBCDataSourceRuntime,dbl,"Number of available connections, source",N
71,Stuck threads:(RMI.WorkManagerRuntime.StuckThreadCount),Stuck threads:RMI,dbl,Stuck Threads,N
72,Thread CPU time:(Threading.CurrentThreadCpuTime),Thread CPU time,dbl,Thread CPU time,N
73,Available db connection activity:(d/dx (source09.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source09.JDBCConnectionPoolRuntime,dbl,"Number of available connections, pool",N
74,Transaction committ activity:(incld/dx (JTARuntime.TransactionCommittedTotalCount)),Transaction committ activity:JTARuntime,dbl,"JTA, committed transactions",N
75,Memory space usage:((PS Old Gen.MemoryPool.Usage.used / PS Old Gen.MemoryPool.Usage.max)),Memory space usage:PS Old Gen.Used,dbl,"Used memory of max, PS Old Gen",Y
76,Stuck threads:(batchModules.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:batchModules,dbl,Stuck Threads,N
77,No data,No data,dbl,"flag, data=1 or no data=0",N
78,DB connection started:(incld/dx (source08.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source08.JDBCConnectionPoolRuntime,dbl,"Number of connections started, pool",N
79,Stuck threads:(source04.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source04,dbl,Stuck Threads,N
80,Daemon thread count:(Threading.DaemonThreadCount),Daemon thread count,dbl,Count of Daemon threads,N
81,Stuck threads:(HARVESTER_WM.WorkManagerRuntime.StuckThreadCount),Stuck threads:HARVESTER_WM,dbl,Stuck Threads,N
82,Rel. unavailable connections:((source02.JDBCDataSourceRuntime.NumUnavailable / source02.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source02.JDBCDataSourceRuntime,dbl,"Relative avialable connecitons, source",Y
83,Available db connection activity:(d/dx (source06.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source06.JDBCDataSourceRuntime,dbl,"Number of available connections, source",N
84,Memory space usage:((PS Eden Space.MemoryPool.Usage.committed / PS Eden Space.MemoryPool.Usage.max)),Memory space usage:PS Eden Space.Committed,dbl,"Committed memory of max, PS Eden Space",Y
85,DB connection started:(incld/dx (source01.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source01.JDBCDataSourceRuntime,dbl,"Number of connections started, source",N
86,Failing reserve requests:(incld/dx (source05.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source05.JDBCDataSourceRuntime,dbl,"Number of failed reserve requests, source",N
87,Connection delay:(source01.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source01.JDBCDataSourceRuntime,dbl,"Connection delay, source",N
88,Memory space usage:((PS Eden Space.MemoryPool.Usage.used / PS Eden Space.MemoryPool.Usage.max)),Memory space usage:PS Eden Space.Used,dbl,"Used memory of max, PS Eden Space",Y
89,Prepared statement cache hit rate:((source09.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source09.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source09.JDBCDataSourceRuntime,dbl,"Prepared statement cahce hit rate, source",Y
90,DB connection started:(incld/dx (source05.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source05.JDBCDataSourceRuntime,dbl,"Number of connections started, source",N
91,Successful wait for connection:(incld/dx (source10.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source10.JDBCDataSourceRuntime,dbl,Successful waits for connection,N
92,DB connection started:(incld/dx (source10.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source10.JDBCConnectionPoolRuntime,dbl,"Number of connections started, pool",N
93,Stuck threads:(JmsAsyncQueue.WorkManagerRuntime.StuckThreadCount),Stuck threads:JmsAsyncQueue,dbl,Stuck Threads,N
94,Class unloading activity:(d/dx (ClassLoading.UnloadedClassCount)),Class unloading activity,dbl,Number of unloaded classes,N
95,Rel. unavailable connections:((source10.JDBCDataSourceRuntime.NumUnavailable / source10.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source10.JDBCDataSourceRuntime,dbl,"Relative avialable connecitons, source",Y
96,Reserve request activity:(incld/dx (source06.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source06.JDBCDataSourceRuntime,dbl,Reserve request activity,N
97,Stuck threads:(bea_wls_cluster_internal.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:bea_wls_cluster_internal,dbl,Stuck Threads,N
98,Successful wait for connection:(incld/dx (source09.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source09.JDBCDataSourceRuntime,dbl,Successful waits for connection,N
99,Connection delay:(source04.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source04.JDBCDataSourceRuntime,dbl,"Connection delay, source",N
100,Connection delay:(source05.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source05.JDBCDataSourceRuntime,dbl,"Connection delay, source",N
101,Rel. unavailable connections:((source10.JDBCConnectionPoolRuntime.NumUnavailable / source10.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source10.JDBCConnectionPoolRuntime,dbl,"Relative avialable connecitons, pool",Y
102,Stuck threads:(source09.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source09,dbl,Stuck Threads,N
103,Failed wait for connection:(incld/dx (source05.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source05.JDBCDataSourceRuntime,dbl,"Number of connections failed waiting, source",N
104,Connection delay:(source04.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source04.JDBCConnectionPoolRuntime,dbl,"Connection delay, pool",N
105,Stuck threads:(bea_wls_diagnostics.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:bea_wls_diagnostics,dbl,Stuck Threads,N
106,Total thread count:(Threading.ThreadCount),Total thread count,dbl,Total threads,N
107,Stuck threads:(CdsAsyncRegistration.WorkManagerRuntime.StuckThreadCount),Stuck threads:CdsAsyncRegistration,dbl,Stuck Threads,N
108,Stuck threads:(WTC.WorkManagerRuntime.StuckThreadCount),Stuck threads:WTC,dbl,Stuck Threads,N
109,Available db connection activity:(d/dx (source08.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source08.JDBCConnectionPoolRuntime,dbl,"Number of available connections, pool",N
110,Prepared statement cache hit rate:((source08.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source08.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source08.JDBCDataSourceRuntime,dbl,"Prepared statement cahce hit rate, source",Y
111,Rel. unavailable connections:((source06.JDBCConnectionPoolRuntime.NumUnavailable / source06.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source06.JDBCConnectionPoolRuntime,dbl,"Relative avialable connecitons, pool",Y
112,Stuck threads:(ASYNC_REP_FLUSH_WM.WorkManagerRuntime.StuckThreadCount),Stuck threads:ASYNC_REP_FLUSH_WM,dbl,Stuck Threads,N
113,Memory space usage:((PS Survivor Space.MemoryPool.Usage.committed / PS Survivor Space.MemoryPool.Usage.max)),Memory space usage:PS Survivor Space.Committed,dbl,"Committed memory of max, PS Survivor Space",Y
114,Stuck threads:(bea_wls9_async_response.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:bea_wls9_async_response,dbl,Stuck Threads,N
115,Rel. unavailable connections:((source01.JDBCDataSourceRuntime.NumUnavailable / source01.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source01.JDBCDataSourceRuntime,dbl,"Relative avialable connecitons, source",Y
116,Stuck threads:(ImageWorkManager.WorkManagerRuntime.StuckThreadCount),Stuck threads:ImageWorkManager,dbl,Stuck Threads,N
117,Memory space activity:(d/dx ((Code.MemoryPool.Usage.used / Code.MemoryPool.Usage.max))),Memory space activity:Code.Used,dbl,"Activity, Used memory of max, Code",Y
118,Objects to be finalized:(Memory.ObjectPendingFinalizationCount),Objects to be finalized,dbl,objects to be finalized (for GC),N
119,Stuck threads:(source03.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source03,dbl,Stuck Threads,N
120,Prepared statement cache hit rate:((source10.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source10.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source10.JDBCDataSourceRuntime,dbl,"Prepared statement cahce hit rate, source",Y
121,Stuck threads:(wls-wsat.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:wls-wsat,dbl,Stuck Threads,N
122,Rel. unavailable connections:((source06.JDBCDataSourceRuntime.NumUnavailable / source06.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source06.JDBCDataSourceRuntime,dbl,"Relative avialable connecitons, source",Y
123,Active connections:(source02.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source02.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
124,Active connections:(source10.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source10.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
125,Stuck threads:(Rejector.WorkManagerRuntime.StuckThreadCount),Stuck threads:Rejector,dbl,Stuck Threads,N
126,Available db connection activity:(d/dx (source05.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source05.JDBCConnectionPoolRuntime,dbl,"Number of available connections, pool",N
127,Active connections:(source06.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source06.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
128,DB connection started:(incld/dx (source05.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source05.JDBCConnectionPoolRuntime,dbl,"Number of connections started, pool",N
129,Prepared statement cache hit rate:((source02.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source02.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source02.JDBCDataSourceRuntime,dbl,"Prepared statement cahce hit rate, source",Y
130,Successful wait for connection:(incld/dx (source06.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source06.JDBCDataSourceRuntime,dbl,Successful waits for connection,N
131,Heap committed activity:(d/dx (Memory.HeapMemoryUsage.committed)),Heap committed activity,dbl,committed heap,N
132,Stuck threads:(System.WorkManagerRuntime.StuckThreadCount),Stuck threads:System,dbl,Stuck Threads,N
133,Rel. swap usage:((OperatingSystem.FreeSwapSpaceSize / OperatingSystem.TotalSwapSpaceSize)),Rel. swap usage:OperatingSystem,dbl,"Relative swap used, OS",Y
134,Stuck threads:(OneWayJTACoordinatorWM.WorkManagerRuntime.StuckThreadCount),Stuck threads:OneWayJTACoordinatorWM,dbl,Stuck Threads,N
135,Active connections:(source09.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source09.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
136,Available db connection activity:(d/dx (source04.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source04.JDBCDataSourceRuntime,dbl,"Number of available connections, source",N
137,Last GC duration:(PS Scavenge.GarbageCollector.LastGcInfo.duration),Last GC duration:PS Scavenge,dbl,duration of last GC,N
138,Failing reserve requests:(incld/dx (source01.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source01.JDBCDataSourceRuntime,dbl,"Number of failed reserve requests, source",N
139,Rel. unavailable connections:((source04.JDBCConnectionPoolRuntime.NumUnavailable / source04.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source04.JDBCConnectionPoolRuntime,dbl,"Relative avialable connecitons, pool",Y
140,Prepared statement cache hit rate:((source03.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source03.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source03.JDBCDataSourceRuntime,dbl,"Prepared statement cahce hit rate, source",Y
141,Stuck threads:(sys02.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:sys02,dbl,Stuck Threads,N
142,DB connection started:(incld/dx (source08.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source08.JDBCDataSourceRuntime,dbl,"Number of connections started, source",N
143,Reserve request activity:(incld/dx (source09.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source09.JDBCDataSourceRuntime,dbl,Reserve request activity,N
144,Rel. physical mem usage:((OperatingSystem.FreePhysicalMemorySize / OperatingSystem.TotalPhysicalMemorySize)),Rel. physical mem usage:OperatingSystem,dbl,Relative memory used,Y
145,NonHeap usage activity:(d/dx (Memory.NonHeapMemoryUsage.used)),NonHeap usage activity,dbl,Non heap memory used,N
146,Active connections:(source01.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source01.JDBCConnectionPoolRuntime,dbl,"Count of active JDBC connections, pool",N
147,Prepared statement cache hit rate:((source05.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source05.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source05.JDBCDataSourceRuntime,dbl,"Prepared statement cahce hit rate, source",Y
148,Rel. unavailable connections:((source03.JDBCDataSourceRuntime.NumUnavailable / source03.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source03.JDBCDataSourceRuntime,dbl,"Relative avialable connecitons, source",Y
149,Memory space activity:(d/dx ((PS Survivor Space.MemoryPool.Usage.used / PS Survivor Space.MemoryPool.Usage.max))),Memory space activity:PS Survivor Space,dbl,"Activity, Used memory of max, PS Survivor Space",Y
150,Connection delay:(source08.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source08.JDBCConnectionPoolRuntime,dbl,"Connection delay, pool",N
151,Active connections:(source10.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source10.JDBCConnectionPoolRuntime,dbl,"Count of active JDBC connections, pool",N
152,Failed wait for connection:(incld/dx (source10.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source10.JDBCDataSourceRuntime,dbl,"Number of connections failed waiting, source",N
153,DB connection started:(incld/dx (source06.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source06.JDBCConnectionPoolRuntime,dbl,"Number of connections started, pool",N
154,Rel. unavailable connections:((source08.JDBCConnectionPoolRuntime.NumUnavailable / source08.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source08.JDBCConnectionPoolRuntime,dbl,"Relative avialable connecitons, pool",Y
155,Stuck threads:(Non-Blocking.WorkManagerRuntime.StuckThreadCount),Stuck threads:Non-Blocking,dbl,Stuck Threads,N
156,NonHeap committed activity:(d/dx (Memory.NonHeapMemoryUsage.committed)),NonHeap committed activity,dbl,Non heap commited memory,N
157,Stuck threads:(UserLockout.WorkManagerRuntime.StuckThreadCount),Stuck threads:UserLockout,dbl,Stuck Threads,N
158,GC time:(incld/dx (PS Scavenge.GarbageCollector.CollectionTime)),GC time:PS Scavenge,dbl,Time spent in GC,N
159,Memory space activity:(d/dx ((PS Perm Gen.MemoryPool.Usage.used / PS Perm Gen.MemoryPool.Usage.max))),Memory space activity:PS Perm Gen.Used,dbl,"Activity, Used memory of max, PS Perm Gen",Y
160,Rel. heap usage:((Memory.HeapMemoryUsage.used / Memory.HeapMemoryUsage.max)),Rel. heap usage,dbl,Relative heap used,Y
161,Swap activity:(d/dx (OperatingSystem.FreeSwapSpaceSize)),Swap activity:OperatingSystem,dbl,"Swap activity, OS",N
162,Stuck threads:(source08.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source08,dbl,Stuck Threads,N
163,GC time:(incld/dx (PS MarkSweep.GarbageCollector.CollectionTime)),GC time:PS MarkSweep,dbl,Time spent in GC,N
164,Successful wait for connection:(incld/dx (source04.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source04.JDBCDataSourceRuntime,dbl,Successful waits for connection,N
165,GC activity:(incld/dx (PS MarkSweep.GarbageCollector.CollectionCount)),GC activity:PS MarkSweep,dbl,GC collection count,N
166,Active connections:(source03.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source03.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
167,Memory space activity:(d/dx ((Code.MemoryPool.Usage.committed / Code.MemoryPool.Usage.max))),Memory space activity:Code.Committed,dbl,"Activity, Committed memory of max, Code",Y
168,Available db connection activity:(d/dx (source01.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source01.JDBCConnectionPoolRuntime,dbl,"Number of available connections, pool",N
169,Connection delay:(source05.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source05.JDBCConnectionPoolRuntime,dbl,"Connection delay, pool",N
